workflow,inputsize,task,machine,time,memory
atacseq,2223941232,bwa_mem,asok01,636425,7584305152
atacseq,2223941232,bwa_mem,asok02,622137,7590084608
atacseq,2223941232,bwa_mem,c2,400676,7588139008
atacseq,2223941232,bwa_mem,n1,550307,7582695424
atacseq,2223941232,bwa_mem,n2,447287,7581798400
atacseq,2223941232,fastqc,asok01,116061,1040146432
atacseq,2223941232,fastqc,asok02,112096,1038708736
atacseq,2223941232,fastqc,c2,47502,1041604608
atacseq,2223941232,fastqc,n1,75877,1078325248
atacseq,2223941232,fastqc,n2,54686,1039855616
atacseq,2223941232,merged_lib_ataqv,asok01,55927,80216064
atacseq,2223941232,merged_lib_ataqv,asok02,58758,81928192
atacseq,2223941232,merged_lib_ataqv,c2,28149,80048128
atacseq,2223941232,merged_lib_ataqv,n1,58152,80998400
atacseq,2223941232,merged_lib_ataqv,n2,31102,81641472
atacseq,2223941232,merged_lib_bam,asok01,406653,7926202368
atacseq,2223941232,merged_lib_bam,asok02,411751,7436701696
atacseq,2223941232,merged_lib_bam,c2,177459,8450392064
atacseq,2223941232,merged_lib_bam,n1,290923,8392060928
atacseq,2223941232,merged_lib_bam,n2,200795,8456257536
atacseq,2223941232,merged_lib_bam_filter,asok01,221290,2759352320
atacseq,2223941232,merged_lib_bam_filter,asok02,219141,2759606272
atacseq,2223941232,merged_lib_bam_filter,c2,126138,2759159808
atacseq,2223941232,merged_lib_bam_filter,n1,219791,2758782976
atacseq,2223941232,merged_lib_bam_filter,n2,138828,2758959104
atacseq,2223941232,merged_lib_bam_remove_orphan,asok01,130052,2714521600
atacseq,2223941232,merged_lib_bam_remove_orphan,asok02,128899,2714718208
atacseq,2223941232,merged_lib_bam_remove_orphan,c2,67750,2713939968
atacseq,2223941232,merged_lib_bam_remove_orphan,n1,106261,2714120192
atacseq,2223941232,merged_lib_bam_remove_orphan,n2,74081,2714193920
atacseq,2223941232,merged_lib_bigwig,asok01,100967,2013474816
atacseq,2223941232,merged_lib_bigwig,asok02,110025,2013487104
atacseq,2223941232,merged_lib_bigwig,c2,51579,2013450240
atacseq,2223941232,merged_lib_bigwig,n1,78778,2013298688
atacseq,2223941232,merged_lib_bigwig,n2,58431,2013171712
atacseq,2223941232,merged_lib_macs2,asok01,123033,216170496
atacseq,2223941232,merged_lib_macs2,asok02,125024,218337280
atacseq,2223941232,merged_lib_macs2,c2,58745,219516928
atacseq,2223941232,merged_lib_macs2,n1,126457,219918336
atacseq,2223941232,merged_lib_macs2,n2,66010,217899008
atacseq,2223941232,merged_lib_macs2_annotate,asok01,161651,1328635904
atacseq,2223941232,merged_lib_macs2_annotate,asok02,159231,1328766976
atacseq,2223941232,merged_lib_macs2_annotate,c2,70861,1328566272
atacseq,2223941232,merged_lib_macs2_annotate,n1,139780,1328676864
atacseq,2223941232,merged_lib_macs2_annotate,n2,79637,1314537472
atacseq,2223941232,merged_lib_picard_metrics,asok01,100796,1094565888
atacseq,2223941232,merged_lib_picard_metrics,asok02,105041,1406177280
atacseq,2223941232,merged_lib_picard_metrics,c2,69099,1100898304
atacseq,2223941232,merged_lib_picard_metrics,n1,89823,1106989056
atacseq,2223941232,merged_lib_picard_metrics,n2,74947,1095155712
atacseq,2223941232,merged_lib_plotfingerprint,asok01,78600,1089761280
atacseq,2223941232,merged_lib_plotfingerprint,asok02,80418,1089978368
atacseq,2223941232,merged_lib_plotfingerprint,c2,46552,1006317568
atacseq,2223941232,merged_lib_plotfingerprint,n1,73465,1087606784
atacseq,2223941232,merged_lib_plotfingerprint,n2,53785,766738432
atacseq,2223941232,merged_lib_plotprofile,asok01,707321,2130436096
atacseq,2223941232,merged_lib_plotprofile,asok02,701323,2174668800
atacseq,2223941232,merged_lib_plotprofile,c2,385306,2201427968
atacseq,2223941232,merged_lib_plotprofile,n1,672763,2143367168
atacseq,2223941232,merged_lib_plotprofile,n2,426802,2128224256
atacseq,2223941232,sort_bam,asok01,85390,3974684672
atacseq,2223941232,sort_bam,asok02,81262,3975266304
atacseq,2223941232,sort_bam,c2,46932,3974623232
atacseq,2223941232,sort_bam,n1,73555,3974840320
atacseq,2223941232,sort_bam,n2,48907,3974791168
atacseq,2223941232,trimgalore,asok01,239678,1135640576
atacseq,2223941232,trimgalore,asok02,237638,1144389632
atacseq,2223941232,trimgalore,c2,142162,1098543104
atacseq,2223941232,trimgalore,n1,221952,1151176704
atacseq,2223941232,trimgalore,n2,160016,1168719872
atacseq,3908761308,bwa_mem,asok01,1058494,7559229440
atacseq,3908761308,bwa_mem,asok02,1078664,7555837952
atacseq,3908761308,bwa_mem,c2,631038,7552327680
atacseq,3908761308,bwa_mem,n1,928658,7548366848
atacseq,3908761308,bwa_mem,n2,737468,7554932736
atacseq,3908761308,fastqc,asok01,191252,1042092032
atacseq,3908761308,fastqc,asok02,190041,1050206208
atacseq,3908761308,fastqc,c2,138800,1095987200
atacseq,3908761308,fastqc,n1,136915,1042731008
atacseq,3908761308,fastqc,n2,89739,1038417920
atacseq,3908761308,merged_lib_ataqv,asok01,91770,73330688
atacseq,3908761308,merged_lib_ataqv,asok02,91197,74100736
atacseq,3908761308,merged_lib_ataqv,c2,44869,70332416
atacseq,3908761308,merged_lib_ataqv,n1,97193,74473472
atacseq,3908761308,merged_lib_ataqv,n2,51796,74162176
atacseq,3908761308,merged_lib_bam,asok01,698722,9488990208
atacseq,3908761308,merged_lib_bam,asok02,709558,9175285760
atacseq,3908761308,merged_lib_bam,c2,300898,9121939456
atacseq,3908761308,merged_lib_bam,n1,498934,9160130560
atacseq,3908761308,merged_lib_bam,n2,343573,9170571264
atacseq,3908761308,merged_lib_bam_filter,asok01,366523,4610269184
atacseq,3908761308,merged_lib_bam_filter,asok02,362007,4610605056
atacseq,3908761308,merged_lib_bam_filter,c2,207525,4610064384
atacseq,3908761308,merged_lib_bam_filter,n1,362532,4610162688
atacseq,3908761308,merged_lib_bam_filter,n2,233503,4609978368
atacseq,3908761308,merged_lib_bam_remove_orphan,asok01,216238,4536287232
atacseq,3908761308,merged_lib_bam_remove_orphan,asok02,212468,4537245696
atacseq,3908761308,merged_lib_bam_remove_orphan,c2,108687,4536913920
atacseq,3908761308,merged_lib_bam_remove_orphan,n1,172793,4536745984
atacseq,3908761308,merged_lib_bam_remove_orphan,n2,122127,4536496128
atacseq,3908761308,merged_lib_bigwig,asok01,152247,2013392896
atacseq,3908761308,merged_lib_bigwig,asok02,161898,2013769728
atacseq,3908761308,merged_lib_bigwig,c2,77428,2013655040
atacseq,3908761308,merged_lib_bigwig,n1,117478,2013052928
atacseq,3908761308,merged_lib_bigwig,n2,87342,2013265920
atacseq,3908761308,merged_lib_macs2,asok01,205119,325832704
atacseq,3908761308,merged_lib_macs2,asok02,209251,322232320
atacseq,3908761308,merged_lib_macs2,c2,99055,327180288
atacseq,3908761308,merged_lib_macs2,n1,215232,307941376
atacseq,3908761308,merged_lib_macs2,n2,110714,307879936
atacseq,3908761308,merged_lib_macs2_annotate,asok01,161205,1346719744
atacseq,3908761308,merged_lib_macs2_annotate,asok02,161633,1346797568
atacseq,3908761308,merged_lib_macs2_annotate,c2,71235,1346265088
atacseq,3908761308,merged_lib_macs2_annotate,n1,142380,1343602688
atacseq,3908761308,merged_lib_macs2_annotate,n2,79256,1346519040
atacseq,3908761308,merged_lib_picard_metrics,asok01,152003,1175953408
atacseq,3908761308,merged_lib_picard_metrics,asok02,150184,1244098560
atacseq,3908761308,merged_lib_picard_metrics,c2,72854,1073680384
atacseq,3908761308,merged_lib_picard_metrics,n1,113619,1205080064
atacseq,3908761308,merged_lib_picard_metrics,n2,86347,910389248
atacseq,3908761308,merged_lib_plotfingerprint,asok01,111930,1097248768
atacseq,3908761308,merged_lib_plotfingerprint,asok02,133374,1099153408
atacseq,3908761308,merged_lib_plotfingerprint,c2,63302,1034354688
atacseq,3908761308,merged_lib_plotfingerprint,n1,109504,1096327168
atacseq,3908761308,merged_lib_plotfingerprint,n2,77013,771891200
atacseq,3908761308,merged_lib_plotprofile,asok01,717802,2136285184
atacseq,3908761308,merged_lib_plotprofile,asok02,714318,2165555200
atacseq,3908761308,merged_lib_plotprofile,c2,391850,2162397184
atacseq,3908761308,merged_lib_plotprofile,n1,682310,2192527360
atacseq,3908761308,merged_lib_plotprofile,n2,436549,2113736704
atacseq,3908761308,sort_bam,asok01,163052,5652025344
atacseq,3908761308,sort_bam,asok02,162732,5652422656
atacseq,3908761308,sort_bam,c2,89899,5652619264
atacseq,3908761308,sort_bam,n1,148673,5652238336
atacseq,3908761308,sort_bam,n2,103925,5652156416
atacseq,3908761308,trimgalore,asok01,395667,1537724416
atacseq,3908761308,trimgalore,asok02,408207,1531998208
atacseq,3908761308,trimgalore,c2,246104,1537409024
atacseq,3908761308,trimgalore,n1,386837,1534791680
atacseq,3908761308,trimgalore,n2,276231,1535721472
atacseq,11187378708,bwa_mem,asok01,1735618,6892982272
atacseq,11187378708,bwa_mem,asok02,1778213,6893338624
atacseq,11187378708,bwa_mem,c2,910554,6864838656
atacseq,11187378708,bwa_mem,n1,1333081,6860238848
atacseq,11187378708,bwa_mem,n2,1030579,6872555520
atacseq,11187378708,fastqc,asok01,562237,1101332480
atacseq,11187378708,fastqc,asok02,559215,1084305408
atacseq,11187378708,fastqc,c2,241572,1049755648
atacseq,11187378708,fastqc,n1,481568,1102225408
atacseq,11187378708,fastqc,n2,270695,1044332544
atacseq,11187378708,merged_lib_ataqv,asok01,102220,134221824
atacseq,11187378708,merged_lib_ataqv,asok02,101177,117653504
atacseq,11187378708,merged_lib_ataqv,c2,44624,115810304
atacseq,11187378708,merged_lib_ataqv,n1,84711,117047296
atacseq,11187378708,merged_lib_ataqv,n2,50475,113983488
atacseq,11187378708,merged_lib_bam,asok01,1865043,12828336128
atacseq,11187378708,merged_lib_bam,asok02,1926767,8408428544
atacseq,11187378708,merged_lib_bam,c2,776485,8448221184
atacseq,11187378708,merged_lib_bam,n1,1291081,8438059008
atacseq,11187378708,merged_lib_bam,n2,867675,8430448640
atacseq,11187378708,merged_lib_bam_filter,asok01,225958,2289700864
atacseq,11187378708,merged_lib_bam_filter,asok02,225660,2290233344
atacseq,11187378708,merged_lib_bam_filter,c2,122396,2289917952
atacseq,11187378708,merged_lib_bam_filter,n1,187030,2289512448
atacseq,11187378708,merged_lib_bam_filter,n2,134319,2289463296
atacseq,11187378708,merged_lib_bam_remove_orphan,asok01,111164,2245316608
atacseq,11187378708,merged_lib_bam_remove_orphan,asok02,109803,2245742592
atacseq,11187378708,merged_lib_bam_remove_orphan,c2,57167,2245320704
atacseq,11187378708,merged_lib_bam_remove_orphan,n1,88623,2244939776
atacseq,11187378708,merged_lib_bam_remove_orphan,n2,64278,2245083136
atacseq,11187378708,merged_lib_bigwig,asok01,90662,2012999680
atacseq,11187378708,merged_lib_bigwig,asok02,92597,2013122560
atacseq,11187378708,merged_lib_bigwig,c2,45252,2012798976
atacseq,11187378708,merged_lib_bigwig,n1,67274,2012925952
atacseq,11187378708,merged_lib_bigwig,n2,50248,2012852224
atacseq,11187378708,merged_lib_macs2,asok01,101251,182333440
atacseq,11187378708,merged_lib_macs2,asok02,105336,181436416
atacseq,11187378708,merged_lib_macs2,c2,49899,181649408
atacseq,11187378708,merged_lib_macs2,n1,105698,174854144
atacseq,11187378708,merged_lib_macs2,n2,55450,181329920
atacseq,11187378708,merged_lib_macs2_annotate,asok01,162959,1380499456
atacseq,11187378708,merged_lib_macs2_annotate,asok02,163792,1380753408
atacseq,11187378708,merged_lib_macs2_annotate,c2,73901,1370189824
atacseq,11187378708,merged_lib_macs2_annotate,n1,142449,1372844032
atacseq,11187378708,merged_lib_macs2_annotate,n2,81025,1380302848
atacseq,11187378708,merged_lib_picard_metrics,asok01,91246,1275498496
atacseq,11187378708,merged_lib_picard_metrics,asok02,89670,1123299328
atacseq,11187378708,merged_lib_picard_metrics,c2,43821,971710464
atacseq,11187378708,merged_lib_picard_metrics,n1,63608,970690560
atacseq,11187378708,merged_lib_picard_metrics,n2,51870,1029328896
atacseq,11187378708,merged_lib_plotfingerprint,asok01,71456,1086713856
atacseq,11187378708,merged_lib_plotfingerprint,asok02,60862,1087586304
atacseq,11187378708,merged_lib_plotfingerprint,c2,33728,763777024
atacseq,11187378708,merged_lib_plotfingerprint,n1,54587,1085521920
atacseq,11187378708,merged_lib_plotfingerprint,n2,38919,1084407808
atacseq,11187378708,merged_lib_plotprofile,asok01,709317,2193981440
atacseq,11187378708,merged_lib_plotprofile,asok02,699256,2170888192
atacseq,11187378708,merged_lib_plotprofile,c2,379595,2226675712
atacseq,11187378708,merged_lib_plotprofile,n1,686502,2191495168
atacseq,11187378708,merged_lib_plotprofile,n2,431575,2141478912
atacseq,11187378708,sort_bam,asok01,414306,5619978240
atacseq,11187378708,sort_bam,asok02,413151,5618094080
atacseq,11187378708,sort_bam,c2,191190,5619867648
atacseq,11187378708,sort_bam,n1,339206,5620068352
atacseq,11187378708,sort_bam,n2,212309,5620072448
atacseq,11187378708,trimgalore,asok01,1143115,3338883072
atacseq,11187378708,trimgalore,asok02,1165820,3345391616
atacseq,11187378708,trimgalore,c2,695051,3318517760
atacseq,11187378708,trimgalore,n1,1107551,3325751296
atacseq,11187378708,trimgalore,n2,778788,3325521920
atacseq,11643214412,bwa_mem,asok01,2613184,7367921664
atacseq,11643214412,bwa_mem,asok02,2618072,7363813376
atacseq,11643214412,bwa_mem,c2,1532800,7366979584
atacseq,11643214412,bwa_mem,n1,2260092,7363461120
atacseq,11643214412,bwa_mem,n2,1709891,7361937408
atacseq,11643214412,fastqc,asok01,554067,1128755200
atacseq,11643214412,fastqc,asok02,557043,1038848000
atacseq,11643214412,fastqc,c2,232557,1125322752
atacseq,11643214412,fastqc,n1,362916,1077194752
atacseq,11643214412,fastqc,n2,395005,1051643904
atacseq,11643214412,merged_lib_ataqv,asok01,352603,111558656
atacseq,11643214412,merged_lib_ataqv,asok02,353311,111960064
atacseq,11643214412,merged_lib_ataqv,c2,179430,111419392
atacseq,11643214412,merged_lib_ataqv,n1,429170,111546368
atacseq,11643214412,merged_lib_ataqv,n2,205402,111468544
atacseq,11643214412,merged_lib_bam,asok01,2128259,12609675264
atacseq,11643214412,merged_lib_bam,asok02,2160554,8426094592
atacseq,11643214412,merged_lib_bam,c2,921393,9046159360
atacseq,11643214412,merged_lib_bam,n1,1519858,8438095872
atacseq,11643214412,merged_lib_bam,n2,1032771,8408616960
atacseq,11643214412,merged_lib_bam_filter,asok01,1365975,5603586048
atacseq,11643214412,merged_lib_bam_filter,asok02,1348298,5601808384
atacseq,11643214412,merged_lib_bam_filter,c2,757375,5603106816
atacseq,11643214412,merged_lib_bam_filter,n1,1341230,5603090432
atacseq,11643214412,merged_lib_bam_filter,n2,845863,5603221504
atacseq,11643214412,merged_lib_bam_remove_orphan,asok01,807597,5605703680
atacseq,11643214412,merged_lib_bam_remove_orphan,asok02,793274,5604417536
atacseq,11643214412,merged_lib_bam_remove_orphan,c2,388432,5606215680
atacseq,11643214412,merged_lib_bam_remove_orphan,n1,642177,5605679104
atacseq,11643214412,merged_lib_bam_remove_orphan,n2,456078,5605801984
atacseq,11643214412,merged_lib_bigwig,asok01,452423,2013974528
atacseq,11643214412,merged_lib_bigwig,asok02,485536,2014199808
atacseq,11643214412,merged_lib_bigwig,c2,223716,2014076928
atacseq,11643214412,merged_lib_bigwig,n1,364464,2013728768
atacseq,11643214412,merged_lib_bigwig,n2,253249,2013835264
atacseq,11643214412,merged_lib_macs2,asok01,817432,914907136
atacseq,11643214412,merged_lib_macs2,asok02,822916,961933312
atacseq,11643214412,merged_lib_macs2,c2,399116,956030976
atacseq,11643214412,merged_lib_macs2,n1,818449,955826176
atacseq,11643214412,merged_lib_macs2,n2,447000,935383040
atacseq,11643214412,merged_lib_macs2_annotate,asok01,175016,1552044032
atacseq,11643214412,merged_lib_macs2_annotate,asok02,176085,1552543744
atacseq,11643214412,merged_lib_macs2_annotate,c2,78604,1538285568
atacseq,11643214412,merged_lib_macs2_annotate,n1,154265,1552257024
atacseq,11643214412,merged_lib_macs2_annotate,n2,86989,1552351232
atacseq,11643214412,merged_lib_picard_metrics,asok01,464165,1495089152
atacseq,11643214412,merged_lib_picard_metrics,asok02,463739,1141288960
atacseq,11643214412,merged_lib_picard_metrics,c2,222066,977743872
atacseq,11643214412,merged_lib_picard_metrics,n1,319727,1293955072
atacseq,11643214412,merged_lib_picard_metrics,n2,251412,1233149952
atacseq,11643214412,merged_lib_plotfingerprint,asok01,137687,1131651072
atacseq,11643214412,merged_lib_plotfingerprint,asok02,133274,1208700928
atacseq,11643214412,merged_lib_plotfingerprint,c2,66376,1132429312
atacseq,11643214412,merged_lib_plotfingerprint,n1,112443,1127227392
atacseq,11643214412,merged_lib_plotfingerprint,n2,83376,1131569152
atacseq,11643214412,merged_lib_plotprofile,asok01,709598,2170580992
atacseq,11643214412,merged_lib_plotprofile,asok02,722060,2153381888
atacseq,11643214412,merged_lib_plotprofile,c2,396512,2147926016
atacseq,11643214412,merged_lib_plotprofile,n1,694883,2206502912
atacseq,11643214412,merged_lib_plotprofile,n2,441379,2210328576
atacseq,11643214412,sort_bam,asok01,491819,5646336000
atacseq,11643214412,sort_bam,asok02,485182,5644107776
atacseq,11643214412,sort_bam,c2,261922,5645918208
atacseq,11643214412,sort_bam,n1,429973,5646168064
atacseq,11643214412,sort_bam,n2,310236,5645746176
atacseq,11643214412,trimgalore,asok01,1190681,3450974208
atacseq,11643214412,trimgalore,asok02,1247744,3438575616
atacseq,11643214412,trimgalore,c2,767007,3436691456
atacseq,11643214412,trimgalore,n1,1186682,3427627008
atacseq,11643214412,trimgalore,n2,865297,3449487360
atacseq,11809629756,bwa_mem,asok01,1809909,6975725568
atacseq,11809629756,bwa_mem,asok02,1810040,6956089344
atacseq,11809629756,bwa_mem,c2,1132150,6953869312
atacseq,11809629756,bwa_mem,local,1111191,6926196736
atacseq,11809629756,bwa_mem,n1,1475333,6955159552
atacseq,11809629756,bwa_mem,n2,1250617,6932578304
atacseq,11809629756,fastqc,asok01,586110,1042423808
atacseq,11809629756,fastqc,asok02,586094,1046421504
atacseq,11809629756,fastqc,c2,264796,1089990656
atacseq,11809629756,fastqc,local,266732,1097170944
atacseq,11809629756,fastqc,n1,385864,1077084160
atacseq,11809629756,fastqc,n2,302730,1041981440
atacseq,11809629756,merged_lib_ataqv,asok01,103844,120606720
atacseq,11809629756,merged_lib_ataqv,asok02,108366,120647680
atacseq,11809629756,merged_lib_ataqv,c2,44925,115900416
atacseq,11809629756,merged_lib_ataqv,local,72841,119885824
atacseq,11809629756,merged_lib_ataqv,n1,84252,120041472
atacseq,11809629756,merged_lib_ataqv,n2,51007,121085952
atacseq,11809629756,merged_lib_bam,asok01,1983132,8902934528
atacseq,11809629756,merged_lib_bam,asok02,2000552,9026461696
atacseq,11809629756,merged_lib_bam,c2,784894,8932622336
atacseq,11809629756,merged_lib_bam,local,1067726,8478167040
atacseq,11809629756,merged_lib_bam,n1,1079854,9831419904
atacseq,11809629756,merged_lib_bam,n2,882985,9923174400
atacseq,11809629756,merged_lib_bam_filter,asok01,242906,2393628672
atacseq,11809629756,merged_lib_bam_filter,asok02,237398,2393026560
atacseq,11809629756,merged_lib_bam_filter,c2,125666,2393337856
atacseq,11809629756,merged_lib_bam_filter,local,154069,2393088000
atacseq,11809629756,merged_lib_bam_filter,n1,179252,2393169920
atacseq,11809629756,merged_lib_bam_filter,n2,135294,2393227264
atacseq,11809629756,merged_lib_bam_remove_orphan,asok01,123918,2350104576
atacseq,11809629756,merged_lib_bam_remove_orphan,asok02,116194,2349752320
atacseq,11809629756,merged_lib_bam_remove_orphan,c2,56713,2350084096
atacseq,11809629756,merged_lib_bam_remove_orphan,local,75816,2349703168
atacseq,11809629756,merged_lib_bam_remove_orphan,n1,80856,2349694976
atacseq,11809629756,merged_lib_bam_remove_orphan,n2,61875,2349494272
atacseq,11809629756,merged_lib_bigwig,asok01,92304,2013245440
atacseq,11809629756,merged_lib_bigwig,asok02,91859,2013409280
atacseq,11809629756,merged_lib_bigwig,c2,44615,2013003776
atacseq,11809629756,merged_lib_bigwig,local,45961,2012971008
atacseq,11809629756,merged_lib_bigwig,n1,63231,2013036544
atacseq,11809629756,merged_lib_bigwig,n2,50132,2012737536
atacseq,11809629756,merged_lib_macs2,asok01,107635,189714432
atacseq,11809629756,merged_lib_macs2,asok02,106717,186736640
atacseq,11809629756,merged_lib_macs2,c2,51686,187846656
atacseq,11809629756,merged_lib_macs2,local,82474,190001152
atacseq,11809629756,merged_lib_macs2,n1,108899,189124608
atacseq,11809629756,merged_lib_macs2,n2,56752,189276160
atacseq,11809629756,merged_lib_macs2_annotate,asok01,162352,1380270080
atacseq,11809629756,merged_lib_macs2_annotate,asok02,161839,1380286464
atacseq,11809629756,merged_lib_macs2_annotate,c2,73162,1380651008
atacseq,11809629756,merged_lib_macs2_annotate,local,104506,1379880960
atacseq,11809629756,merged_lib_macs2_annotate,n1,135482,1380528128
atacseq,11809629756,merged_lib_macs2_annotate,n2,83943,1366441984
atacseq,11809629756,merged_lib_picard_metrics,asok01,92141,1296871424
atacseq,11809629756,merged_lib_picard_metrics,asok02,93794,1028096000
atacseq,11809629756,merged_lib_picard_metrics,c2,43251,1213255680
atacseq,11809629756,merged_lib_picard_metrics,local,49538,1082318848
atacseq,11809629756,merged_lib_picard_metrics,n1,56725,957321216
atacseq,11809629756,merged_lib_picard_metrics,n2,47295,954007552
atacseq,11809629756,merged_lib_plotfingerprint,asok01,68960,1089318912
atacseq,11809629756,merged_lib_plotfingerprint,asok02,65281,1089478656
atacseq,11809629756,merged_lib_plotfingerprint,c2,35960,1088249856
atacseq,11809629756,merged_lib_plotfingerprint,local,52075,1089654784
atacseq,11809629756,merged_lib_plotfingerprint,n1,56773,1089519616
atacseq,11809629756,merged_lib_plotfingerprint,n2,40543,844283904
atacseq,11809629756,merged_lib_plotprofile,asok01,685557,2182045696
atacseq,11809629756,merged_lib_plotprofile,asok02,692087,2134151168
atacseq,11809629756,merged_lib_plotprofile,c2,387445,2156797952
atacseq,11809629756,merged_lib_plotprofile,local,697137,2187583488
atacseq,11809629756,merged_lib_plotprofile,n1,662946,2160836608
atacseq,11809629756,merged_lib_plotprofile,n2,433868,2185965568
atacseq,11809629756,sort_bam,asok01,483835,5625057280
atacseq,11809629756,sort_bam,asok02,436313,5624893440
atacseq,11809629756,sort_bam,c2,186390,5624922112
atacseq,11809629756,sort_bam,local,296513,5623050240
atacseq,11809629756,sort_bam,n1,291693,5624725504
atacseq,11809629756,sort_bam,n2,214925,5624729600
atacseq,11809629756,trimgalore,asok01,1169295,3291336704
atacseq,11809629756,trimgalore,asok02,1164418,3287318528
atacseq,11809629756,trimgalore,c2,732635,3292442624
atacseq,11809629756,trimgalore,local,880592,3299065856
atacseq,11809629756,trimgalore,n1,1112566,3297910784
atacseq,11809629756,trimgalore,n2,834361,3301187584
atacseq,14091675276,bwa_mem,asok01,3182334,7582994432
atacseq,14091675276,bwa_mem,asok02,3181945,7581638656
atacseq,14091675276,bwa_mem,c2,1948343,7585083392
atacseq,14091675276,bwa_mem,local,2114316,7587557376
atacseq,14091675276,bwa_mem,n2,2257694,7585034240
atacseq,14091675276,fastqc,asok01,667187,1084698624
atacseq,14091675276,fastqc,asok02,663222,1037787136
atacseq,14091675276,fastqc,c2,284575,1039847424
atacseq,14091675276,fastqc,local,334510,1049276416
